name	rating	date	title	up_vote	down_vote
今天小熊不吃糖	推荐	2020-08-15 18:13:14	电影中没有呈现的结局，比《八佰》更令人悲痛唏嘘	9672	160
电影榨汁	力荐	2019-08-08 03:04:55	八百的来龙去脉（根据电影扩展更新）	3074	114
躲猫猫社社长	很差	2020-08-18 17:41:35	学走路中试图踩单车	3305	1031
二十二岛主	推荐	2020-08-14 22:32:59	心平气和说《八佰》：一场炮火淬炼出的人生戏台	2722	144
拜拜 拜	较差	2020-08-15 01:17:14	对于「八佰」我无法保持理智	2036	531
今何在	推荐	2020-08-15 14:10:51	做个勇敢的中国人 评《八佰》	1624	120
Enlightening	还行	2020-08-15 05:35:56	《八佰》的三重暧昧	1029	101
木石子	还行	2020-08-16 12:03:33	其实《八佰》没有你们说得那么好看！	907	259
宋雯婷	推荐	2020-08-23 13:29:52	《八佰》演技排行榜	540	17
思故渊	很差	2020-08-27 13:24:06	到底是谁的八佰？	222	30
wild life	力荐	2020-08-23 21:30:18	【春天的放牛班】观影团周限定——《八佰》	80	3
巴伐利亞酒神	推荐	2020-08-15 15:54:58	八佰：在残酷的战争中，贪生怕死是一种常态，视死如归也是	227	40
第一导演	推荐	2020-08-25 11:10:40	南岸刀子，《八佰》第801位壮士	79	6
王写写	还行	2020-08-18 22:14:50	本有饱满的美学风格，终被平庸叙述击溃	250	6
怀璧不予	推荐	2020-08-15 22:43:57	冰冷的政治，盖不住滚烫的血	274	17
电影幕后故事	推荐	2020-08-22 04:36:11	二刷《八佰》，解读20个你最该注意的细节	297	6
新京报书评周刊	推荐	2020-08-23 18:11:37	劫波渡尽 | 《八佰》之外的“四行孤军”	112	7
Boreas	很差	2020-08-15 17:41:26	剧情不好	269	55
时间之葬	推荐	2020-08-14 16:47:54	华语战争片的一个新标杆	215	53
圆首的秘书	还行	2020-08-18 18:13:40	八佰：制作挺大，问题也挺大	82	9
白头豕	很差	2020-08-18 00:19:59	管虎《八佰》的文眼：冒着敌人的炮火，逃跑！！	159	41
大聪看电影	推荐	2020-08-23 23:05:44	《八佰》争议巨大，但我还是有话要说，从剧作纯电影角度聊优与缺	94	5
西西里的朗读者	推荐	2020-08-15 02:42:15	聊聊《八佰》观感、争议以及台湾版本（加更，谈谈死了几十人的战斗，为什么值得花5亿拍大片，加更2谈谈电影前后割裂感和战争片的困境）	97	16
新京报书评周刊	推荐	2020-08-24 11:03:28	不是《八佰》，是四百廿！真实历史的四行孤军，比电影更震动人心	40	2
惘然	推荐	2020-08-16 19:30:51	他们，都是那一匹在城市里飞奔的白马	593	9
林翰lh	力荐	2020-08-15 11:00:31	DOVE MOVIE观影团：华语电影最好的技术模样，天堂地狱的夹缝奋勇	101	44
刘小黛	推荐	2020-08-14 16:10:45	淞沪会战83周年，看《八佰》之前你必须了解的历史知识！	105	23
看电影看到死	推荐	2020-08-22 21:36:00	命运多舛的《八佰》硬不硬？自己去看！	19	2
砂丁	推荐	2020-08-15 05:03:56	看完说几句	41	13
文森特	推荐	2020-08-14 20:31:47	注定失败，注定可歌可泣	156	31
sTill-Life	推荐	2020-08-16 21:22:18	八佰，战争类型下的社会学观察	56	10
方枪枪	推荐	2020-08-23 19:00:08	《八佰》：不仅仅是战争片	23	7
新京报书评周刊	推荐	2020-08-24 09:25:23	劫波渡尽 | 《八佰》之外的“四行孤军”	16	3
第一导演	推荐	2020-08-28 11:51:24	《八佰》日文副导演：月入十万生意不做，每月5000块跟剧组	22	2
桂沅	力荐	2020-08-24 19:34:17	李晨的这行泪，流进山东人心里了	37	3
深津奈留	推荐	2020-08-21 15:19:59	随便说说为什么八佰这么招人记恨	45	9
Doublebitch	推荐	2020-08-15 22:04:56	只有没经历过战争的人，才会向往战争	54	6
支离疏	力荐	2020-08-15 19:35:15	最好的战争电影总是“荒诞”的	75	18
公园最冷的一天	推荐	2020-08-14 22:06:42	方法论	22	11
杨志	力荐	2020-08-27 00:31:59	有关淞沪抗战及八年国军抗战史的一些掠影	43	5
汪金卫	还行	2020-08-20 05:39:52	隔岸观火，隔靴搔痒，虚构煽情，差强人意	52	7
哲学课的猫	推荐	2020-08-20 03:49:51	逃离未来——《八佰》的加速主义阐释	25	3
VEGENIC	很差	2020-08-18 19:12:19	哗众取宠 不知所云	76	32
大海里的针	力荐	2020-08-17 16:37:55	不枉苦等一年，这就是我想要的《八佰》	43	9
风间隼	推荐	2020-08-24 20:43:40	战斗出彩，剧情走偏	19	3
Eurus	推荐	2020-08-16 22:59:29	我为什么说《八佰》过誉了	77	6
御坂喵	还行	2020-08-18 07:18:07	成为政治表演戏的关于政治表演戏的抗日神剧。
一部再度成为符号的符号	23	2
艾晨	推荐	2020-08-21 23:04:05	一河两岸，众生万相	30	2
左丘失明	力荐	2020-08-21 03:49:57	八佰，冲桥	41	26
子戈	推荐	2020-08-18 17:54:59	惊喜于《八佰》的两大亮点	54	4
薇羅尼卡	力荐	2020-08-18 04:24:41	救市的八佰，终于来了	19	9
巴塞电影	推荐	2020-08-17 09:25:24	筑梦十年今朝实现，英烈忠魂必须铭记	30	10
Enjolras	推荐	2020-08-16 02:57:58	十年前《风声》，十年后《八佰》	29	8
筆刀当炮	推荐	2020-09-05 10:27:21	妙笔作妙曲，生死地生情	5	1
谋杀游戏机	推荐	2020-08-25 20:48:31	救市＆醒世：《八佰》是一部上等战争片吗？	17	2
未卜	推荐	2020-08-21 02:38:30	《八佰》——管虎：我该如何导好这场“秀”	17	3
兔撕鸡大老爷	力荐	2020-08-20 03:28:46	前影视从业者看完《八佰》，想解释一下那些争议点	57	6
ZhangYan	还行	2020-08-15 16:33:38	吴京创造了施虐美学，管虎发明了受虐美学	68	12
陆冠均	推荐	2020-08-16 17:12:12	《八佰》：屈辱吗？那就对了！	37	9
李濛Lemon	推荐	2020-08-16 03:14:07	被观望的历史	23	6
唐山	力荐	2020-08-16 02:06:50	知道这些，才知道《八佰》多么催人泪下	44	15
Monet	力荐	2020-08-15 01:26:09	史诗不会因为任何影响而褪色	44	15
罗罔极	推荐	2020-08-17 16:28:20	它一上映，中国电影必将复兴	34	15
温暖小西瓜	还行	2020-08-15 01:28:37	道具服饰，诚意满满！	29	8
木西	还行	2020-09-14 00:12:33	《八佰》设计理念、图分享，专访美术指导林木	5	
阿怪	很差	2020-08-24 14:12:22	乱改历史，煽动地域矛盾，用英雄史观去代替人民史观。	14	6
盲忙	推荐	2020-08-22 18:56:10	谁都不是生来无畏	15	3
Omar	较差	2020-08-15 04:45:37	凭印象聊聊剧作	25	8
百草幽香	推荐	2020-08-27 13:00:13	八年抗战史的缩影	5	3
唐朝	推荐	2020-08-15 12:39:26	为什么白马是《八佰》中的灵魂之笔	17	9
肖恩恩恩恩肖	推荐	2020-08-26 23:06:52	只因民族已到了存亡之际	22	3
宋雯婷	推荐	2020-08-25 23:12:55	《八佰》中我看到进步最大的演员是他	15	2
郭连凯	推荐	2020-08-21 18:32:30	我的名字叫“山东兵”	108	2
百浪多息	推荐	2020-08-20 18:04:37	八佰	5	4
大钊	较差	2020-08-20 00:58:02	怪不着删减，是编剧和管虎共同毁了《八佰》	73	22
不会修冰箱	力荐	2020-08-23 13:51:03	八佰 并没有烂尾	4	3
游园	还行	2020-08-21 00:00:06	国产电影仍需成长	13	2
魏佳鑫	力荐	2020-08-17 17:17:17	我们永不知晓，那匹白马为何奔跑。	5	6
暖	推荐	2020-08-16 17:29:38	冷静的战争写实和感性的电影写意	11	9
张茶客	推荐	2020-08-18 13:38:27	民族主义与看的机器	11	4
地瓜	推荐	2020-08-18 04:04:08	《八佰》：驳关于本片的两种观点	8	3
小米她爸	还行	2020-08-15 12:59:45	期待了一年！也许会失望很久很久！	22	8
巴斯特德	推荐	2020-09-23 00:01:50	一个中国人	3	
京客隆小丸子	推荐	2020-08-27 00:01:54	《八佰》多重视角下的历史剧	3	2
迦南Canaan	推荐	2020-08-23 13:02:02	“山东兵李晨”的五次出场	4	2
给艾德林的诗	还行	2020-08-23 05:44:56	平庸叙事的意外之意	9	1
梁尘	推荐	2020-08-23 04:27:25	从舆论的反面出发	8	4
予若洞庭叶.	推荐	2020-08-22 23:39:46	商女真的不知亡国恨吗？	3	1
NEVER	还行	2020-08-22 19:26:48	有些可惜	8	2
写剧本的肥树	推荐	2020-08-22 00:35:13	随便聊几句	9	3
米乔	还行	2020-08-19 00:55:41	很想感动，但在影院尴尬到扣脚趾。	31	5
蒙奇D	力荐	2020-08-15 17:25:29	中国战争电影最高水准	13	9
为了忘却的纪念	推荐	2020-08-14 19:41:59	用八百条性命演一场历史大戏	6	10
火娃	推荐	2020-09-18 15:01:22	逼出人性的光芒——浅谈《八佰》叙事的魅力	3	
CeneridiLeslie	还行	2020-08-26 00:13:41	管虎就是谢晋元，《八佰》的拧巴，就是管虎的拧巴	2	1
绿叶梧桐	较差	2020-08-24 18:04:39	这么好的题材给拍砸了，不应该呀！	8	2
Empty	较差	2020-08-24 14:28:32	一条无任何政治因素的差评	9	2
小蜜蜂嗡嗡嗡	较差	2020-08-24 13:42:56	比较合适打三星，因为剧本再减一星	9	
留象鸣	推荐	2020-08-24 02:18:40	《八佰》，一半儿	1	2
峰瑞	推荐	2020-08-22 09:00:38	八佰，在商言商	1	3
［已註銷］	力荐	2020-08-21 17:31:18	就是一部爱国主义宣传片，但我给它打五星	6	4
Veronica	力荐	2020-08-18 01:26:30	待我成尘时，你将见我的微笑	8	6
没有名字最安全	推荐	2020-08-17 23:03:35	抗日题材电影之困——兼评《八佰》	2	2
电影败家子	较差	2020-08-16 07:43:51	《八佰》不行，拍得像B站的混剪视频	12	3
不玩豆瓣	推荐	2020-08-15 22:05:07	战争中的我们不过是一颗颗棋子——《八佰》点映观后感	9	6
憨人	推荐	2020-08-15 10:21:21	从人物形象塑造和视听语言等角度赏析《八百》。	10	11
江湖骗子	还行	2020-08-15 00:23:13	满满美感，但剧情很散，人物很浅。	15	5
荞麦花开	推荐	2020-09-14 09:14:23	《八佰》，不一样在哪里？	2	
救赎pacer	推荐	2020-08-30 17:10:52	“催熟”的国家认同与一场战争舞台剧	2	1
深水怪	还行	2020-08-26 22:49:38	去你的小家子气	3	1
江北乘	还行	2020-08-26 22:15:42	这是一部看得我从头憋屈到尾的电影	1	1
沉默是金	推荐	2020-08-25 01:54:06	一曲时代的悲歌	3	1
秋库布里克	推荐	2020-08-24 14:33:53	战场不存在勇士	23	2
lyyz	力荐	2020-08-22 20:39:27	历史是最好的教科书	1	1
🎬	推荐	2020-08-21 23:21:19	多一星给那消失的13分钟	1	1
